Last confirmed delivery date,Sales Document,Season,Order Window,Shipping Conditions,Purchasing Document,Customer Reference,VENDOR,Somma di Outstanding total amount,Somma di Delivery Open Quantity (SU)
46142,1200665609,FW26,W2,(MTO) Direct,5200004410,OOW2,"QINGDAO HUILU SILICONE, CO. LTD",5964.03,333
46170,1200712643,FW26,W3,(MTO) Direct,5200004667,DROR WINGATE,Quanzhou Zhenglong Bags & Garments,4027.2,240
46193,1200712642,FW26,W3,(MTO) Direct,5200004637,DROR WINGATE,TABATA CO.LTD FACTORY,11148,720
46198,1200733749,FW26,W5,(MTO) Direct,5200004767,ex1200712643_DROR WI,Quanzhou Zhenglong Bags & Garments,1006.8,60
46232,1200665774,FW26,W2,(MTO) Transhipment,5300009551,Ocean Bloom,Grace Glory (Cambodia) Garment Ltd.,2999.8199999999993,300
46245,1200665775,FW26,W2,(MTO) Transhipment,5300009579,Ocean Bloom,Quanzhou Zhenglong Bags & Garments,713.16,36
46262,1200766139,FW26,W5,(MTO) Transhipment,5300010318,AQUA GLEAM,TABATA CO.LTD FACTORY,1114.2,60
,1200801748,FW26,W5,(MTS) da picking,,Midnight Chrome,,5771.9799999999987,52
,1200827889,FW26,W5,(MTS) da picking,,AQUA GLEAM,,5375.7600000000011,58
46280,1200766141,FW26,W5,(MTO) Transhipment,5300010446,AQUA GLEAM,Quanzhou Zhenglong Bags & Garments,713.16,36
46281,1200712644,FW26,W3,(MTO) Transhipment,5300010095,DROR WINGATE,ZHI XING VIETNAM CO LTD,928.50000000000011,150
46289,1200766140,FW26,W5,(MTO) Transhipment,5300010377,AQUA GLEAM,Grace Glory (Cambodia) Garment Ltd.,590.79000000000008,54
Totale complessivo,,,,,,,,40353.4,2099
