,ARENA RACING / TRIATHLON / COMPRESSION 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SKU,EAN,Article,Style,Style Description,Colorway,Colorway Description,Collection Type,Teamline,Teamline Colorway,Carry Over Style,Carry Over Colorway,Segment,Product Type,Usage Environment,Usage Purpose,Consumer Target,Item,Style Composition,Packaging Sustainability,Product Sustainability,Back,Material Subtype,Product Line,Sizes Overview,Size,FRA size,GER size,ITA size,UK size,USA size,Net weight,Gross weight,Packaging Weight,Packaging Depth,Packaging Height,Packaging Width,Backbone,Fedas,Fedas Colorway,Fedas Size Range,Taric,Potential Made In
,001128_45_28,3468336362600,00112845,001128,POWERSKIN CARBON AIR2 OB,45,RED,Global,N,N,Y,Y,Swimwear,Full body,Pool,Racing,Woman,Short Leg,"65% Polyamide, 34% Elastane, 1% Carbon Fiber",100% Recycled Paper,,Open,Woven,Carbon Air 2," 28, 30, 32, 34, 36, 38, 40",28,28	,26	,32	,22	,22	,110,302,192,6.5,17.5,12.5,Racing - Race gear & wetsuits - Swimsuits & Trisuits - WOMAN - Full body,215695,21152,14.15,6211120000,Slovakia
,001128_45_30,3468336362617,00112845,001128,POWERSKIN CARBON AIR2 OB,45,RED,Global,N,N,Y,Y,Swimwear,Full body,Pool,Racing,Woman,Short Leg,"65% Polyamide, 34% Elastane, 1% Carbon Fiber",100% Recycled Paper,,Open,Woven,Carbon Air 2," 28, 30, 32, 34, 36, 38, 40",30,30	,28	,34	,24	,24	,110,302,192,6.5,17.5,12.5,Racing - Race gear & wetsuits - Swimsuits & Trisuits - WOMAN - Full body,215695,21152,14.15,6211120000,Slovakia
,001128_45_32,3468336362624,00112845,001128,POWERSKIN CARBON AIR2 OB,45,RED,Global,N,N,Y,Y,Swimwear,Full body,Pool,Racing,Woman,Short Leg,"65% Polyamide, 34% Elastane, 1% Carbon Fiber",100% Recycled Paper,,Open,Woven,Carbon Air 2," 28, 30, 32, 34, 36, 38, 40",32,32	,30	,36	,26	,26	,110,302,192,6.5,17.5,12.5,Racing - Race gear & wetsuits - Swimsuits & Trisuits - WOMAN - Full body,215695,21152,14.15,6211120000,Slovakia
,001128_45_34,3468336362631,00112845,001128,POWERSKIN CARBON AIR2 OB,45,RED,Global,N,N,Y,Y,Swimwear,Full body,Pool,Racing,Woman,Short Leg,"65% Polyamide, 34% Elastane, 1% Carbon Fiber",100% Recycled Paper,,Open,Woven,Carbon Air 2," 28, 30, 32, 34, 36, 38, 40",34,34	,32	,38	,28	,28	,110,302,192,6.5,17.5,12.5,Racing - Race gear & wetsuits - Swimsuits & Trisuits - WOMAN - Full body,215695,21152,14.15,6211120000,Slovakia
,001128_45_36,3468336362648,00112845,001128,POWERSKIN CARBON AIR2 OB,45,RED,Global,N,N,Y,Y,Swimwear,Full body,Pool,Racing,Woman,Short Leg,"65% Polyamide, 34% Elastane, 1% Carbon Fiber",100% Recycled Paper,,Open,Woven,Carbon Air 2," 28, 30, 32, 34, 36, 38, 40",36,36	,34	,40	,30	,30	,110,302,192,6.5,17.5,12.5,Racing - Race gear & wetsuits - Swimsuits & Trisuits - WOMAN - Full body,215695,21152,14.15,6211120000,Slovakia
,001128_45_38,3468336362655,00112845,001128,POWERSKIN CARBON AIR2 OB,45,RED,Global,N,N,Y,Y,Swimwear,Full body,Pool,Racing,Woman,Short Leg,"65% Polyamide, 34% Elastane, 1% Carbon Fiber",100% Recycled Paper,,Open,Woven,Carbon Air 2," 28, 30, 32, 34, 36, 38, 40",38,38	,36	,42	,32	,32	,110,302,192,6.5,17.5,12.5,Racing - Race gear & wetsuits - Swimsuits & Trisuits - WOMAN - Full body,215695,21152,14.15,6211120000,Slovakia
,001128_45_40,3468336362662,00112845,001128,POWERSKIN CARBON AIR2 OB,45,RED,Global,N,N,Y,Y,Swimwear,Full body,Pool,Racing,Woman,Short Leg,"65% Polyamide, 34% Elastane, 1% Carbon Fiber",100% Recycled Paper,,Open,Woven,Carbon Air 2," 28, 30, 32, 34, 36, 38, 40",40,40	,38	,44	,34	,34	,110,302,192,6.5,17.5,12.5,Racing - Race gear & wetsuits - Swimsuits & Trisuits - WOMAN - Full body,215695,21152,14.15,6211120000,Slovakia
,001128_553_28,3468336259771,001128553,001128,POWERSKIN CARBON AIR2 OB,553,BLACK-BLACK-GOLD,Global,N,N,Y,Y,Swimwear,Full body,Pool,Racing,Woman,Short Leg,"65% Polyamide, 34% Elastane, 1% Carbon Fiber",100% Recycled Paper,,Open,Woven,Carbon Air 2," 28, 30, 32, 34, 36, 38, 40",28,28	,26	,32	,22	,22	,110,302,192,6.5,17.5,12.5,Racing - Race gear & wetsuits - Swimsuits & Trisuits - WOMAN - Full body,215695,21222,14.15,6211120000,Slovakia
,001128_553_30,3468336259689,001128553,001128,POWERSKIN CARBON AIR2 OB,553,BLACK-BLACK-GOLD,Global,N,N,Y,Y,Swimwear,Full body,Pool,Racing,Woman,Short Leg,"65% Polyamide, 34% Elastane, 1% Carbon Fiber",100% Recycled Paper,,Open,Woven,Carbon Air 2," 28, 30, 32, 34, 36, 38, 40",30,30	,28	,34	,24	,24	,110,302,192,6.5,17.5,12.5,Racing - Race gear & wetsuits - Swimsuits & Trisuits - WOMAN - Full body,215695,21222,14.15,6211120000,Slovakia
,001128_553_32,3468336259702,001128553,001128,POWERSKIN CARBON AIR2 OB,553,BLACK-BLACK-GOLD,Global,N,N,Y,Y,Swimwear,Full body,Pool,Racing,Woman,Short Leg,"65% Polyamide, 34% Elastane, 1% Carbon Fiber",100% Recycled Paper,,Open,Woven,Carbon Air 2," 28, 30, 32, 34, 36, 38, 40",32,32	,30	,36	,26	,26	,110,302,192,6.5,17.5,12.5,Racing - Race gear & wetsuits - Swimsuits & Trisuits - WOMAN - Full body,215695,21222,14.15,6211120000,Slovakia
