SKU,Article,EAN,Style,Style Description,Colorway,Colorway Description,Segment,Product Type,Consumer Target,Sizes Overview,Size,Made-In,Taric,Collection Type,Carry Over,SWP EUR,RSP EUR
000024_155_TU,000024155,3468335803357,000024,SPIDER,155,CLEAR-BLACK-BLACK,Equipment,Goggles,Uni Adult,TU,TU,China,9004901000,Global,Y,8.571429999999999,18
000024_171_TU,000024171,3468335840352,000024,SPIDER,171,CLEAR-BLUE-WHITE,Equipment,Goggles,Uni Adult,TU,TU,China,9004901000,Global,Y,8.571429999999999,18
000024_555_TU,000024555,3468335803395,000024,SPIDER,555,SMOKE-BLACK-BLACK,Equipment,Goggles,Uni Adult,TU,TU,China,9004901000,Global,Y,8.571429999999999,18
000024_711_TU,000024711,3468335803425,000024,SPIDER,711,BLUE-CLEAR-CLEAR,Equipment,Goggles,Uni Adult,TU,TU,China,9004901000,Global,Y,8.571429999999999,18
000024_910_TU,000024910,3468337966982,000024,SPIDER,910,SMOKE-GREY-BLACK,Equipment,Goggles,Uni Adult,TU,TU,China,9004901000,Global,Y,8.571429999999999,18
000398_100_TU,000398100,3468335892702,000398,ANTIFOG SPRAY&SWIM,100,TRANSPARENT,Equipment,Goggle Accessories,Uni Adult,TU,TU,Italy,3402399090,Global,Y,6.19048,13
000400_105_L,000400105,3468335892818,000400,3D SOFT,105,WHITE,Equipment,Swim Caps,Uni Adult,"M, L, XL",L,Japan,6506910000,Global,Y,17.61905,37
000400_105_M,000400105,3468335892764,000400,3D SOFT,105,WHITE,Equipment,Swim Caps,Uni Adult,"M, L, XL",M,Japan,6506910000,Global,Y,17.61905,37
000400_105_XL,000400105,3468336405253,000400,3D SOFT,105,WHITE,Equipment,Swim Caps,Uni Adult,"M, L, XL",XL,Japan,6506910000,Global,Y,17.61905,37
000400_305_L,000400305,3468335973173,000400,3D SOFT,305,YELLOW,Equipment,Swim Caps,Uni Adult,"M, L, XL",L,Japan,6506910000,Global,Y,17.61905,37
000400_305_M,000400305,3468335973166,000400,3D SOFT,305,YELLOW,Equipment,Swim Caps,Uni Adult,"M, L, XL",M,Japan,6506910000,Global,Y,17.61905,37
000400_305_XL,000400305,3468336405239,000400,3D SOFT,305,YELLOW,Equipment,Swim Caps,Uni Adult,"M, L, XL",XL,Japan,6506910000,Global,Y,17.61905,37
000400_401_L,000400401,3468335892825,000400,3D SOFT,401,RED,Equipment,Swim Caps,Uni Adult,"M, L, XL",L,Japan,6506910000,Global,Y,17.61905,37
