"מק""ט",תאור,ברקוד,תאור לועזי,סטטוס,טיפוס,לטיפול,יח' קניה/מכירה,משפחת מוצר/קוד מיון,תאור משפחה,פריט מרכז?,ספק מועדף,שם ספק,סרגל מידות,שם סרגל מידות,מחיר מקור לצרכן,מטבע המחירון,מחיר קניה,מטבע קניה,"מחיר בסיס כולל מע""מ",מחיר במחירון POS,"מחיר כולל מע""מ POS",פריט מקביל,מותג11,תאור פרמטר 11 למוצר,דיויזן12,תאור פרמטר 12 למוצר,מגדר13,תאור פרמטר 13 למוצר,עונה/שנה14,תאור פרמטר 14 למוצר,עונה15,תאור פרמטר 15 למוצר,ספורט ענף17,במחסן מחלקה19,קוד מיון אליטל,צבע,תאור צבע,סטטוס בפריוריטי
AR000024155,SPIDER,AR000024155,SPIDER,פעיל,R,revital_m,יח',00609,משקפות שחייה ארנה,Y,3100310055,ARENA ITALIA SPA,74,ארנה,79,שח,4.03,EUR,93.22,66.95,79,000024155,40029,ארנה,14,ציוד,30,יוניסקס,SS27,קיץ 27,SS,קיץ,SWIM,UNIT,UNIT,155,CLEAR-BLACK-BLACK,קיים
AR000024171,SPIDER,AR000024171,SPIDER,פעיל,R,revital_m,יח',00609,משקפות שחייה ארנה,Y,3100310055,ARENA ITALIA SPA,74,ארנה,79,שח,4.03,EUR,93.22,66.95,79,000024171,40029,ארנה,14,ציוד,30,יוניסקס,SS27,קיץ 27,SS,קיץ,SWIM,UNIT,UNIT,171,CLEAR-BLUE-WHITE,קיים
AR000024555,SPIDER,AR000024555,SPIDER,פעיל,R,revital_m,יח',00609,משקפות שחייה ארנה,Y,3100310055,ARENA ITALIA SPA,74,ארנה,79,שח,4.03,EUR,93.22,66.95,79,000024555,40029,ארנה,14,ציוד,30,יוניסקס,SS27,קיץ 27,SS,קיץ,SWIM,UNIT,UNIT,555,SMOKE-BLACK-BLACK,קיים
AR000024711,SPIDER,AR000024711,SPIDER,פעיל,R,revital_m,יח',00609,משקפות שחייה ארנה,Y,3100310055,ARENA ITALIA SPA,74,ארנה,79,שח,4.03,EUR,93.22,66.95,79,000024711,40029,ארנה,14,ציוד,30,יוניסקס,SS27,קיץ 27,SS,קיץ,SWIM,UNIT,UNIT,711,BLUE-CLEAR-CLEAR,קיים
AR000024910,SPIDER,AR000024910,SPIDER,פעיל,R,revital_m,יח',00609,משקפות שחייה ארנה,Y,3100310055,ARENA ITALIA SPA,1,ללא מידות,79,שח,4.03,EUR,93.22,66.95,79,000024910,40029,ארנה,14,ציוד,30,יוניסקס,SS27,קיץ 27,SS,קיץ,SWIM,UNIT,UNIT,910,SMOKE-GREY-BLACK,חדש
AR000398100,ANTIFOG SPRAY&SWIM,AR000398100,ANTIFOG SPRAY&SWIM,פעיל,R,revital_m,יח',00611,ציוד אימונים ארנה,Y,3100310055,ARENA ITALIA SPA,74,ארנה,59,שח,3.22,EUR,69.62,50,59,000398100,40029,ארנה,14,ציוד,30,יוניסקס,SS27,קיץ 27,SS,קיץ,SWIM,UNIT,UNIT,100,TRANSPARENT,קיים
AR000400105,3D SOFT,AR000400105,3D SOFT,פעיל,R,revital_m,יח',00610,כובעי שחייה ארנה,Y,3100310055,ARENA ITALIA SPA,74,ארנה,169,שח,8.279999999999999,EUR,199.42,143.22,169,000400105,40029,ארנה,14,ציוד,30,יוניסקס,SS27,קיץ 27,SS,קיץ,SWIM,UNIT,UNIT,105,WHITE,חדש
AR000400305,3D SOFT,AR000400305,3D SOFT,פעיל,R,revital_m,יח',00610,כובעי שחייה ארנה,Y,3100310055,ARENA ITALIA SPA,74,ארנה,169,שח,8.279999999999999,EUR,199.42,143.22,169,000400305,40029,ארנה,14,ציוד,30,יוניסקס,SS27,קיץ 27,SS,קיץ,SWIM,UNIT,UNIT,305,YELLOW,חדש
AR000400401,3D SOFT,AR000400401,3D SOFT,פעיל,R,revital_m,יח',00610,כובעי שחייה ארנה,Y,3100310055,ARENA ITALIA SPA,74,ארנה,169,שח,8.279999999999999,EUR,199.42,143.22,169,000400401,40029,ארנה,14,ציוד,30,יוניסקס,SS27,קיץ 27,SS,קיץ,SWIM,UNIT,UNIT,401,RED,חדש
AR000400501,3D SOFT,AR000400501,3D SOFT,פעיל,R,revital_m,יח',00610,כובעי שחייה ארנה,Y,3100310055,ARENA ITALIA SPA,74,ארנה,169,שח,8.279999999999999,EUR,199.42,143.22,169,000400501,40029,ארנה,14,ציוד,30,יוניסקס,SS27,קיץ 27,SS,קיץ,SWIM,UNIT,UNIT,501,BLACK,חדש
