משפחה,ספק מועדף,מקט ספק פרמטר 4,מקט,תיאור פריט,תיאור פריט,צבע,מותג,דויזן,מגדר,עונה/שנה,עונה,מאפיין,ענף ספורט end use,רויאלטיז,מחלקה במחסן,מגה תת קבוצה,סרגל,,מחיר בסיס/מחיר צרכן קטלוגי,סוג חלוקה,מחיר קנייה EUR,קוד מטבע,תקן עלות ₪,קוד מיון אליטל,מחירון 1/סיטונאי קטלוגי,מחירון 2/סיטונאי נטו,מחירון 3/צרכן רשת,מחירון 4/ סיטונאי MGS
00609,3100310055,000024910,AR000024910,SPIDER,SPIDER,910,40029,14,30,SS27,SS,,SWIM,,UNIT,,1,,79,,4.03,EUR,,UNIT,40,,79,
00610,3100310055,000400105,AR000400105,3D SOFT,3D SOFT,105,40029,14,30,SS27,SS,,SWIM,,UNIT,,74,,169,,8.279999999999999,EUR,,UNIT,84,,169,
00610,3100310055,000400305,AR000400305,3D SOFT,3D SOFT,305,40029,14,30,SS27,SS,,SWIM,,UNIT,,74,,169,,8.279999999999999,EUR,,UNIT,84,,169,
00610,3100310055,000400401,AR000400401,3D SOFT,3D SOFT,401,40029,14,30,SS27,SS,,SWIM,,UNIT,,74,,169,,8.279999999999999,EUR,,UNIT,84,,169,
00610,3100310055,000400501,AR000400501,3D SOFT,3D SOFT,501,40029,14,30,SS27,SS,,SWIM,,UNIT,,74,,169,,8.279999999999999,EUR,,UNIT,84,,169,
00610,3100310055,000400701,AR000400701,3D SOFT,3D SOFT,701,40029,14,30,SS27,SS,,SWIM,,UNIT,,74,,169,,8.279999999999999,EUR,,UNIT,84,,169,
00610,3100310055,000400721,AR000400721,3D SOFT,3D SOFT,721,40029,14,30,SS27,SS,,SWIM,,UNIT,,74,,169,,8.279999999999999,EUR,,UNIT,84,,169,
00601,3100310055,001198106,AR001198106,W ARENA ONE BIGLOGO ONE PIECE,W ARENA ONE BIGLOGO ONE PIECE,106,40029,12,32,SS27,SS,,SWIM,,UNIT,,23,,209,,10.74,EUR,,UNIT,104,,209,
00601,3100310055,001198555,AR001198555,W ARENA ONE BIGLOGO ONE PIECE,W ARENA ONE BIGLOGO ONE PIECE,555,40029,12,32,SS27,SS,,SWIM,,UNIT,,23,,209,,10.74,EUR,,UNIT,104,,209,
00601,3100310055,001198560,AR001198560,W ARENA ONE BIGLOGO ONE PIECE,W ARENA ONE BIGLOGO ONE PIECE,560,40029,12,32,SS27,SS,,SWIM,,UNIT,,23,,209,,10.74,EUR,,UNIT,104,,209,
