קוד דגם,צבע,מידה,ברקוד
AR000024910,910,TU,3468337966982
AR000400105,105,L,3468335892818
AR000400105,105,M,3468335892764
AR000400105,105,XL,3468336405253
AR000400305,305,L,3468335973173
AR000400305,305,M,3468335973166
AR000400305,305,XL,3468336405239
AR000400401,401,L,3468335892825
AR000400401,401,M,3468335892771
AR000400401,401,XL,3468336405284
AR000400501,501,L,3468335892832
AR000400501,501,M,3468335892788
AR000400501,501,XL,3468336405277
AR000400701,701,L,3468335892849
AR000400701,701,M,3468335892795
AR000400701,701,XL,3468336405246
AR000400721,721,L,3468335892856
AR000400721,721,M,3468335892801
AR000400721,721,XL,3468336405260
AR001198106,106,30,3468336968574
AR001198106,106,32,3468336968932
AR001198106,106,34,3468336966471
AR001198106,106,36,3468336966860
AR001198106,106,38,3468336967263
AR001198106,106,40,3468336967201
AR001198106,106,42,3468336967454
AR001198106,106,44,3468336967775
AR001198555,555,30,3468336967614
AR001198555,555,32,3468336967997
AR001198555,555,34,3468336968376
AR001198555,555,36,3468336968741
AR001198555,555,38,3468336966280
AR001198555,555,40,3468336966242
AR001198555,555,42,3468336966662
AR001198555,555,44,3468336967058
AR001198560,560,30,3468337966999
AR001198560,560,32,3468337967002
AR001198560,560,34,3468337967019
AR001198560,560,36,3468337967026
AR001198560,560,38,3468337967033
AR001198560,560,40,3468337967040
AR001198560,560,42,3468337967057
AR001198560,560,44,3468337967064
AR001198609,609,30,3468337870852
AR001198609,609,32,3468337870869
AR001198609,609,34,3468337870876
AR001198609,609,36,3468337870883
AR001198609,609,38,3468337870890
AR001198609,609,40,3468337870906
AR001198609,609,42,3468337870913
AR001198609,609,44,3468337870920
AR001198730,730,30,3468337967071
AR001198730,730,32,3468337967088
AR001198730,730,34,3468337967095
AR001198730,730,36,3468337967101
AR001198730,730,38,3468337967118
AR001198730,730,40,3468337967125
AR001198730,730,42,3468337967132
AR001198730,730,44,3468337967149
AR001198888,888,30,3468337967156
AR001198888,888,32,3468337967163
AR001198888,888,34,3468337967170
AR001198888,888,36,3468337967187
AR001198888,888,38,3468337967194
AR001198888,888,40,3468337967200
AR001198888,888,42,3468337967217
AR001198888,888,44,3468337967224
AR001198899,899,30,3468337726296
AR001198899,899,32,3468337726302
AR001198899,899,34,3468337726319
AR001198899,899,36,3468337726326
AR001198899,899,38,3468337726333
AR001198899,899,40,3468337726340
AR001198899,899,42,3468337726357
AR001198899,899,44,3468337726364
AR001198908,908,30,3468337870937
AR001198908,908,32,3468337870944
AR001198908,908,34,3468337870951
AR001198908,908,36,3468337870968
AR001198908,908,38,3468337870975
AR001198908,908,40,3468337870982
AR001198908,908,42,3468337870999
AR001198908,908,44,3468337871002
AR001198960,960,30,3468337967231
AR001198960,960,32,3468337967248
AR001198960,960,34,3468337967255
AR001198960,960,36,3468337967262
AR001198960,960,38,3468337967279
AR001198960,960,40,3468337967286
AR001198960,960,42,3468337967293
AR001198960,960,44,3468337967309
AR001225410,410,L,3468337116523
AR001225410,410,M,3468337116653
AR001225410,410,S,3468337116417
AR001225410,410,XL,3468337115311
AR001225410,410,XS,3468337116615
AR001225410,410,XXL,3468337115748
AR001225510,510,L,3468337116127
AR001225510,510,M,3468337116363
AR001225510,510,S,3468337115892
AR001225510,510,XL,3468337116448
AR001225510,510,XS,3468337116288
AR001225510,510,XXL,3468337115441
AR001225710,710,L,3468337115427
AR001225710,710,M,3468337115571
AR001225710,710,S,3468337116677
AR001225710,710,XL,3468337115601
AR001225710,710,XS,3468337115533
AR001225710,710,XXL,3468337116080
AR001225810,810,L,3468337116516
AR001225810,810,M,3468337116639
AR001225810,810,S,3468337116394
AR001225810,810,XL,3468337115274
AR001225810,810,XS,3468337116578
AR001225810,810,XXL,3468337115670
AR001227510,510,L,3468337116073
AR001227510,510,M,3468337116332
AR001227510,510,S,3468337115878
AR001227510,510,XL,3468337115977
AR001227510,510,XS,3468337115816
AR001227510,510,XXL,3468337116066
AR001227710,710,L,3468337115380
AR001227710,710,M,3468337115557
AR001227710,710,S,3468337116660
AR001227710,710,XL,3468337115298
AR001227710,710,XS,3468337116592
