"מק""ט","מק""ט חלופי",ברקוד,תיאור פריט,תיאור לועזי,צבע,תיאור צבע,מידה,מחלקה,קבוצה,תת קבוצה,ספק,מותג,עונה,מחיר קנייה EUR,"מחיר מכירה כולל מע""מ",מחיר סיטונאי,יחידת מידה,מוצר אב
3468337966982,AR000024910,3468337966982,SPIDER,SPIDER,910,SMOKE-GREY-BLACK,TU,00609,משקפות שחייה ארנה,Goggles,ARENA ITALIA SPA,ארנה,SS27,4.03,79,40,יח',AR000024910
3468335892818,AR000400105,3468335892818,3D SOFT,3D SOFT,105,WHITE,L,00610,כובעי שחייה ארנה,Swim Caps,ARENA ITALIA SPA,ארנה,SS27,8.279999999999999,169,84,יח',AR000400105
3468335892764,AR000400105,3468335892764,3D SOFT,3D SOFT,105,WHITE,M,00610,כובעי שחייה ארנה,Swim Caps,ARENA ITALIA SPA,ארנה,SS27,8.279999999999999,169,84,יח',AR000400105
3468336405253,AR000400105,3468336405253,3D SOFT,3D SOFT,105,WHITE,XL,00610,כובעי שחייה ארנה,Swim Caps,ARENA ITALIA SPA,ארנה,SS27,8.279999999999999,169,84,יח',AR000400105
3468335973173,AR000400305,3468335973173,3D SOFT,3D SOFT,305,YELLOW,L,00610,כובעי שחייה ארנה,Swim Caps,ARENA ITALIA SPA,ארנה,SS27,8.279999999999999,169,84,יח',AR000400305
3468335973166,AR000400305,3468335973166,3D SOFT,3D SOFT,305,YELLOW,M,00610,כובעי שחייה ארנה,Swim Caps,ARENA ITALIA SPA,ארנה,SS27,8.279999999999999,169,84,יח',AR000400305
3468336405239,AR000400305,3468336405239,3D SOFT,3D SOFT,305,YELLOW,XL,00610,כובעי שחייה ארנה,Swim Caps,ARENA ITALIA SPA,ארנה,SS27,8.279999999999999,169,84,יח',AR000400305
3468335892825,AR000400401,3468335892825,3D SOFT,3D SOFT,401,RED,L,00610,כובעי שחייה ארנה,Swim Caps,ARENA ITALIA SPA,ארנה,SS27,8.279999999999999,169,84,יח',AR000400401
3468335892771,AR000400401,3468335892771,3D SOFT,3D SOFT,401,RED,M,00610,כובעי שחייה ארנה,Swim Caps,ARENA ITALIA SPA,ארנה,SS27,8.279999999999999,169,84,יח',AR000400401
3468336405284,AR000400401,3468336405284,3D SOFT,3D SOFT,401,RED,XL,00610,כובעי שחייה ארנה,Swim Caps,ARENA ITALIA SPA,ארנה,SS27,8.279999999999999,169,84,יח',AR000400401
3468335892832,AR000400501,3468335892832,3D SOFT,3D SOFT,501,BLACK,L,00610,כובעי שחייה ארנה,Swim Caps,ARENA ITALIA SPA,ארנה,SS27,8.279999999999999,169,84,יח',AR000400501
3468335892788,AR000400501,3468335892788,3D SOFT,3D SOFT,501,BLACK,M,00610,כובעי שחייה ארנה,Swim Caps,ARENA ITALIA SPA,ארנה,SS27,8.279999999999999,169,84,יח',AR000400501
3468336405277,AR000400501,3468336405277,3D SOFT,3D SOFT,501,BLACK,XL,00610,כובעי שחייה ארנה,Swim Caps,ARENA ITALIA SPA,ארנה,SS27,8.279999999999999,169,84,יח',AR000400501
3468335892849,AR000400701,3468335892849,3D SOFT,3D SOFT,701,NAVY,L,00610,כובעי שחייה ארנה,Swim Caps,ARENA ITALIA SPA,ארנה,SS27,8.279999999999999,169,84,יח',AR000400701
3468335892795,AR000400701,3468335892795,3D SOFT,3D SOFT,701,NAVY,M,00610,כובעי שחייה ארנה,Swim Caps,ARENA ITALIA SPA,ארנה,SS27,8.279999999999999,169,84,יח',AR000400701
3468336405246,AR000400701,3468336405246,3D SOFT,3D SOFT,701,NAVY,XL,00610,כובעי שחייה ארנה,Swim Caps,ARENA ITALIA SPA,ארנה,SS27,8.279999999999999,169,84,יח',AR000400701
3468335892856,AR000400721,3468335892856,3D SOFT,3D SOFT,721,ROYAL,L,00610,כובעי שחייה ארנה,Swim Caps,ARENA ITALIA SPA,ארנה,SS27,8.279999999999999,169,84,יח',AR000400721
3468335892801,AR000400721,3468335892801,3D SOFT,3D SOFT,721,ROYAL,M,00610,כובעי שחייה ארנה,Swim Caps,ARENA ITALIA SPA,ארנה,SS27,8.279999999999999,169,84,יח',AR000400721
3468336405260,AR000400721,3468336405260,3D SOFT,3D SOFT,721,ROYAL,XL,00610,כובעי שחייה ארנה,Swim Caps,ARENA ITALIA SPA,ארנה,SS27,8.279999999999999,169,84,יח',AR000400721
3468336968574,AR001198106,3468336968574,W ARENA ONE BIGLOGO ONE PIECE,W ARENA ONE BIGLOGO ONE PIECE,106,WHITE-GOLD_R,30,00601,בגדי ים נשים ארנה,One piece,ARENA ITALIA SPA,ארנה,SS27,10.74,209,104,יח',AR001198106
