,פריט,שם פריט,מלאי,מלאי,מלאי,מלאי,מלאי,מלאי
1,1,כללי,24,24,0,0,0,0
2,11,הנחת קופון,2,2,0,0,0,0
3,94,פריט נסיון מתעודת כניסה,4,4,0,0,0,0
4,9997,חבילות,11,11,0,0,0,0
5,1234567,כובע 3D לחץ תחרותי ישראל,100,100,0,0,0,0
6,568173420,JUMP ROPE IN TUBE,20,20,0,0,0,0
7,737899586024,6PK Legacy No Show Black Assort,10,0,0,0,10,0
8,737899586048,6PK Legacy No Show White Assort,27,0,0,0,27,0
9,737899586055,6PK Legacy No Show Black Assort,6,0,0,0,6,0
10,737899586079,6PK Legacy No Show White Assort,22,0,0,0,22,0
11,737899630093,6PK ALL BLACK ASSOR,10,0,0,0,10,0
12,737899724983,3PK Inferno Ultralight  No Show Tab Black,20,0,0,0,20,0
13,737899725003,3PK Inferno Ultralight  No Show Tab White,20,0,0,0,20,0
14,737899725072,3PK Inferno Ultralight  No Show Tab Black,20,0,0,0,20,0
15,737899725096,3PK Inferno Ultralight  No Show Tab White,19,0,0,0,19,0
16,769493103765,GU GEL,34,34,0,0,0,0
17,1200143836446,ACTIV COLL RBK-CHILL+DREAMBLEND TEE,1,0,0,0,1,0
18,1200143836453,ACTIV COLL RBK-CHILL+DREAMBLEND TEE,2,0,0,0,2,0
19,1200143836460,ACTIV COLL RBK-CHILL+DREAMBLEND TEE,2,0,0,0,2,0
20,1200143836484,ACTIV COLL RBK-CHILL+DREAMBLEND TEE,1,0,0,0,1,0
21,1200161499258,ACTIV COLL RBK-CHILL+DREAMBLEND TEE,2,0,0,0,2,0
22,1200161499265,ACTIV COLL RBK-CHILL+DREAMBLEND TEE,2,0,0,0,2,0
23,1200161499272,ACTIV COLL RBK-CHILL+DREAMBLEND TEE,1,0,0,0,1,0
24,1200161499289,ACTIV COLL RBK-CHILL+DREAMBLEND TEE,1,0,0,0,1,0
25,1200175183365,CLAXON 2PC TRACKSUIT,2,0,0,0,2,0
26,1200175183372,CLAXON 2PC TRACKSUIT,2,0,0,0,2,0
27,1200175183396,CLAXON 2PC TRACKSUIT,2,0,0,0,2,0
28,1200175183402,CLAXON 2PC TRACKSUIT,1,0,0,0,1,0
29,1200175183419,CLAXON 2PC TRACKSUIT,1,0,0,0,1,0
30,1200175334279,NOAH SMALL LOGO HOODY,3,0,0,0,3,0
31,1200175334286,NOAH SMALL LOGO HOODY,2,0,0,0,2,0
32,1200175334811,NOAH SMALL LOGO HOODY,2,0,0,0,2,0
33,1200175334828,NOAH SMALL LOGO HOODY,1,0,0,0,1,0
34,1200175334842,NOAH SMALL LOGO HOODY,1,0,0,0,1,0
35,1200175906643,ID TRAIN SS TECH TEE,1,0,0,0,1,0
36,1200175907329,ID TRAIN SS TECH TEE,1,0,0,0,1,0
37,1200175907367,ID TRAIN SS TECH TEE,1,0,0,0,1,0
38,1200175909941,ID TRAIN SS TECH TEE,1,0,0,0,1,0
39,1200175952114,RBK CHILL ATHLETIC TEE,1,0,0,0,1,0
40,1200175952145,RBK CHILL ATHLETIC TEE,2,0,0,0,2,0
41,1200175952176,RBK CHILL ATHLETIC TEE,1,0,0,0,1,0
42,1200175952206,RBK CHILL ATHLETIC TEE,1,0,0,0,1,0
43,1200175952664,RBK CHILL ATHLETIC TEE,2,0,0,0,2,0
44,1200175953982,KENDAL CORE STRAPPY BRA,1,0,0,0,1,0
45,1200179121134,LUX HI-RISE TIGHT,1,0,0,0,1,0
46,1200179121141,LUX HI-RISE TIGHT,1,0,0,0,1,0
47,1200179121172,LUX HI-RISE TIGHT,1,0,0,0,1,0
48,3468330987090,ב.ים שלם מודפס נשים MAY LOW איטליה-שחור52,2,2,0,0,0,0
49,3468331817327,תחרותי בנים FX,1,1,0,0,0,0
50,3468333252270,משקפת ילדים ונוער spider,319,3,0,0,4,312
51,3468333252287,משקפת ילדים ונוער spider,430,8,0,0,2,420
52,3468333758161,אטמי אוזניים EARPLUG ERGO,1578,72,0,0,1,1505
53,3468333788809,VORTEX EVOLUTION כפות אימונים מקצועיות,99,0,0,20,0,79
54,3468333788816,VORTEX EVOLUTION כפות אימונים מקצועיות,93,3,0,15,0,75
55,3468333850940,פאוור סקין גבר ארוך מים פתוחים גאמר רבו 2010,3,3,0,0,0,0
56,3468333850964,פאוור סקין גבר ארוך מים פתוחים גאמר רבו 2010,3,3,0,0,0,0
57,3468333850995,פאוור סקין גבר ארוך מים פתוחים גאמר רבו 2010,1,1,0,0,0,0
58,3468333854528,ב.ים נשים פאוארסקין רבו + ארוך פתוח  מ.פתוחים,1,1,0,0,0,0
