"פריט","שם פריט","מחיר מכירה","סה''כ","ראשי","מכולה וינגייט","רמת גן","ספורט & מור רמלה","WIX"
"1","כללי","","19","24","","","","-5"
"10","משלוח","35.00","-578","-578","","","",""
"11","הנחת קופון","1.00","2","2","","","",""
"93","סטנד משקפות שולחני","","","","","","",""
"94","פריט נסיון מתעודת כנ","","4","4","","","",""
"1111","מקלות עידוד","5.00","","","","","",""
"1212","כפכף ארנה איטליה","99.00","","","","","",""
"1313","ב. ים SP ארנה איטליה","110.00","","","","","",""
"1414","ב.ים בנות איטליה SP","180.00","","","","","",""
"1515","תיק ארנה איטליה LE","229.00","","","","","",""
"1616","ביגוד קבוצות ארנה אי","120.00","","","","","",""
"9723","הדפסת סמל כיס","5.00","-34","-34","","","",""
"9726","הדפסה גדולה חזית/גב","8.00","","","","","",""
"9997","חבילות","24.90","11","11","","","",""
"69289","נרתיק נגד מים","39.90","-12","-11","","","","-1"
"123456","כובע סיליקון איכותי","65.00","-300","-300","","","",""
"568201","T14 מ.משק מלבני","209.90","","","","","",""
"595077","מנעול 4 ספרות ללוקר","29.00","-1","-1","","","",""
"1112233","בגד ים בנות מודפס לו","189.00","","","","","",""
"1122334","בגד ים בנים squared","139.00","","","","","",""
"1234567","כובע 3D לחץ תחרותי י","150.00","100","100","","","",""
"1918177","סטופר 3*100 מקצועי","149.90","-20","-20","","","",""
"6827950","מעיל פארקה פיסטון חד","499.00","","","","","",""
"7450100","כובע מים פתוחים לבן","59.00","","","","","",""
"7450800","כובע מים פתוחים כחול","59.00","","","","","",""
"7451800","כובע מים פתוחים כחול","59.00","","","","","",""
"11224242","בובה כדור מים","20.00","-6","-6","","","",""
"32424243","פריט נסיון","200.00","","","","","",""
"50052967","חטיף פרוטאין היי5","12.00","","","","","",""
"50052981","איזוג''''ל היי5","8.00","","","","","",""
"50052998","איזוג''''ל היי5","8.00","","","","","",""
"50053001","איזוג''''ל אקסטרים ה","8.00","","","","","",""
"50053025","איזוג''''ל היי5","8.00","","","","","",""
"50551842","איזוג''''ל היי5","8.00","","","","","",""
"50551859","איזוג''''ל היי5","8.00","","","","","",""
"50551910","איזוג''''ל היי5","8.00","","","","","",""
"50572953","איזוג''''ל היי5","8.00","","","","","",""
"50572977","איזוג''''ל היי5","8.00","","","","","",""
"50572984","איזוג''''ל היי5","8.00","","","","","",""
"50598410","אנרגי בר בננה היי5","10.00","","","","","",""
"50598465","חטיף פרוטאין היי 5","12.00","","","","","",""
"50598496","חטיף פרוטאין היי5","12.00","","","","","",""
"50598557","אנרגי בר בוטנים היי5","10.00","","","","","",""
"65069100","3D SOFT CAP RISHON I","","","","","","",""
"76949000","בקבוק GU","30.00","-2","-2","","","",""
"81895664","גליל חלול למאסג'","129.00","-2","-2","","","",""
"91662015","כובע סיליקון לבן אתר","34.90","6","6","","","",""
"91662035","כובע סיליקון צהוב את","34.90","6","6","","","",""
"91662051","כובע סיליקון כסף אתר","34.90","6","6","","","",""
"91662055","כובע סיליקון שחור את","34.90","6","6","","","",""
"91662065","כובע סיליקון ליים-עש","34.90","6","6","","","",""
"91662071","כובע סיליקון נייבי א","34.90","6","6","","","",""
"91662075","כובע סיליקון נייבי-א","34.90","6","6","","","",""
"91662103","כובע סיליקון ורוד את","34.90","6","6","","","",""
"121237008","כדור עיסוי","30.00","-5","","","","","-5"
"123123444","קמע אליפות עולם לנוע","60.00","","","","","",""
"123456677","כובע אליפות עולם לנו","65.00","-2","-2","","","",""
"568173420","JUMP ROPE IN TU","16.90","20","20","","","",""
"609860030","W SPIDER BOOSTE","169.99","","","","","",""
"609860032","W SPIDER BOOSTE","169.99","","","","","",""
"609860034","W SPIDER BOOSTE","169.99","","","","","",""
"609860036","W SPIDER BOOSTE","169.99","","","","","",""
"609860038","W SPIDER BOOSTE","169.99","","","","","",""
"609860040","W SPIDER BOOSTE","169.99","","","","","",""
"1012310123","כובע מצחיה אליפות עו","29.00","","","","","",""
"1212370008","כיסוי למחבט טניס","68.99","-1","","","","","-1"
"1914203000","BONNET SILICONE","","","","","","",""
"4245090028","W MANIFESTO ONE","169.99","","","","","",""
"4245090030","W MANIFESTO ONE","169.99","","","","","",""
"4245090032","W MANIFESTO ONE","169.99","","","","","",""
"4245090034","W MANIFESTO ONE","169.99","","","","","",""
"4245090036","W MANIFESTO ONE","169.99","","","","","",""
"4245090038","W MANIFESTO ONE","169.99","","","","","",""
"4245090040","W MANIFESTO ONE","169.99","","","","","",""
"4917010065","M PHANTOM 12 CM","110.00","","","","","",""
"4917010070","M PHANTOM 12 CM","110.00","","","","","",""
"4917010075","M PHANTOM 12 CM","110.00","","","","","",""
"4917010080","M PHANTOM 12 CM","110.00","","","","","",""
