"#","פריט","שם פריט","מחיר מכירה","מלאי","ראשי","מכולה וינגייט","רמת גן","ספורט & מור רמלה","WIX"
"1","1","כללי","","19","24","","","","-5"
"2","10","משלוח","35.00","-590","-590","","","",""
"3","11","הנחת קופון","1.00","2","2","","","",""
"4","93","סטנד משקפות שולחני","","","","","","",""
"5","94","פריט נסיון מתעודת כנ","","4","4","","","",""
"6","1111","מקלות עידוד","5.00","","","","","",""
"7","1212","כפכף ארנה איטליה","99.00","","","","","",""
"8","1313","ב. ים SP ארנה איטליה","110.00","","","","","",""
"9","1414","ב.ים בנות איטליה SP","180.00","","","","","",""
"10","1515","תיק ארנה איטליה LE","229.00","","","","","",""
"11","1616","ביגוד קבוצות ארנה אי","120.00","","","","","",""
"12","9723","הדפסת סמל כיס","5.00","-34","-34","","","",""
"13","9726","הדפסה גדולה חזית/גב","8.00","","","","","",""
"14","9997","חבילות","24.90","11","11","","","",""
"15","69289","נרתיק נגד מים","39.90","-13","-11","","","","-2"
"16","123456","כובע סיליקון איכותי","65.00","-300","-300","","","",""
"17","568201","T14 מ.משק מלבני","209.90","","","","","",""
"18","595077","מנעול 4 ספרות ללוקר","29.00","-1","-1","","","",""
"19","1112233","בגד ים בנות מודפס לו","189.00","","","","","",""
"20","1122334","בגד ים בנים squared","139.00","","","","","",""
"21","1123456","כובע סיליקון ישראל","59.00","-1","","","","","-1"
"22","1234567","כובע 3D לחץ תחרותי י","150.00","100","100","","","",""
"23","1918177","סטופר 3*100 מקצועי","149.90","-20","-20","","","",""
"24","6827950","מעיל פארקה פיסטון חד","499.00","","","","","",""
"25","7450100","כובע מים פתוחים לבן","59.00","","","","","",""
"26","7450800","כובע מים פתוחים כחול","59.00","","","","","",""
"27","7451800","כובע מים פתוחים כחול","59.00","","","","","",""
"28","11224242","בובה כדור מים","20.00","-6","-6","","","",""
"29","32424243","פריט נסיון","200.00","","","","","",""
"30","50052967","חטיף פרוטאין היי5","12.00","","","","","",""
"31","50052981","איזוג""""ל היי5","8.00","","","","","",""
"32","50052998","איזוג""""ל היי5","8.00","","","","","",""
"33","50053001","איזוג""""ל אקסטרים ה","8.00","","","","","",""
"34","50053025","איזוג""""ל היי5","8.00","","","","","",""
"35","50551842","איזוג""""ל היי5","8.00","","","","","",""
"36","50551859","איזוג""""ל היי5","8.00","","","","","",""
"37","50551910","איזוג""""ל היי5","8.00","","","","","",""
"38","50572953","איזוג""""ל היי5","8.00","","","","","",""
"39","50572977","איזוג""""ל היי5","8.00","","","","","",""
"40","50572984","איזוג""""ל היי5","8.00","","","","","",""
"41","50598410","אנרגי בר בננה היי5","10.00","","","","","",""
"42","50598465","חטיף פרוטאין היי 5","12.00","","","","","",""
"43","50598496","חטיף פרוטאין היי5","12.00","","","","","",""
"44","50598557","אנרגי בר בוטנים היי5","10.00","","","","","",""
"45","65069100","3D SOFT CAP RISHON I","","","","","","",""
"46","76949000","בקבוק GU","30.00","-2","-2","","","",""
"47","81895664","גליל חלול למאסג'","129.00","-2","-2","","","",""
"48","91662015","כובע סיליקון לבן אתר","34.90","4","4","","","",""
"49","91662035","כובע סיליקון צהוב את","34.90","3","3","","","",""
"50","91662051","כובע סיליקון כסף אתר","34.90","5","5","","","",""
