"מק""ט חלופי","תיאור פריט","דגם","צבע","מידה","מחלקה","מחיר מכירה","מחירון 1","סה""כ מלאי","ראשי","מכולה וינגייט","רמת גן","ספורט & מור רמלה","WIX","קוד דגם","קבוצה","פריט","ברקוד"
"1","כללי","פריט כללי","","Os","","","","24","24","","","","","1","","1","1"
"10","משלוח","משלוח","","Os","","35.00","35","-529","-529","","","","","10","","10","10"
"11","הנחת קופון","","","","","1.00","1","2","2","","","","","","","11","11"
"93/TU","סטנד משקפות שולחני","סטנד משקפות שולחני","","Os","ציוד","","","","","","","","","93","","93","93"
"","פריט נסיון מתעודת כנ","","","","","","","4","4","","","","","","","94","5621412321451"
"1234","מקלות עידוד","מקלות עידוד","","Os","","5.00","5","","","","","","","1111","","1111","1111"
"1","כפכף ארנה איטליה","כפכף ארנה איטליה","","Os","הנעלה","99.00","99","","","","","","","1212","619-קבקב ארנה איטליה","1212","1212"
"1","ב. ים SP ארנה איטליה","ב. ים SP ארנה איטליה בנים","","","ביגוד","110.00","110","","","","","","","1313","634-כנסון גבר ע.בכלור משולב+בסיס","1313","1313"
"1414","ב.ים בנות איטליה SP","ב.ים בנות איטליה SP","","","ביגוד","180.00","180","","","","","","","1414","622-ב.ים נשים ע.כלור ארנה איטליה","1414","1414"
"1515","תיק ארנה איטליה LE","תיק ארנה איטליה","","Os","ציוד","229.00","229","","","","","","","1515","תיקים","1515","1515"
"1616","ביגוד קבוצות ארנה אי","ביגוד קבוצות ארנה איטליה","","Os","ביגוד","120.00","120","","","","","","","1616","697-ביגוד קבוצות איטליה","1616","1616"
"9723","הדפסת סמל כיס","הדפסת סמל כיס","","Os","","5.00","5","-34","-34","","","","","9723","","9723","9723"
"9726","הדפסה גדולה חזית/גב","הדפסת חזית/גב","","Os","","8.00","8","","","","","","","9726","","9726","9726"
"9997000","חבילות","9997","","Os","95","24.90","24.9","11","11","","","","","9997","3","9997","9997"
"1","נרתיק נגד מים","כובע סיליקון איכותי ארנה","","Os","ציוד","39.90","39.9","-12","-11","","","","-1","123456","613- כובעי ים","69289","69289"
"1","כובע סיליקון איכותי","כובע סיליקון איכותי ארנה","","Os","ציוד","65.00","65","-299","-299","","","","","123456","613- כובעי ים","123456","123456"
"568201/TU","T14 מ.משק מלבני","T14 מ.משק מלבני","","Os","ציוד","209.90","209.9","","","","","","","568201","משקולות","568201","568201"
"@595077@","מנעול 4 ספרות ללוקר","","","Os","ציוד","29.00","29","-1","-1","","","","","","","595077","595077"
"2A243450036","בגד ים בנות מודפס לו","W SOLID LIGHT TECH HIGH","","36","ביגוד","189.00","189","","","","","","","2A24345","622-ב.ים נשים ע.כלור ארנה איטליה","1112233","1112233"
"201205500100","בגד ים בנים squared","מכנסון גבר squared-שחור","","100","ביגוד","139.00","139","","","","","","","2012055","635- מכנסון גבר ארנה איטליה","1122334","1122334"
"1234567","כובע 3D לחץ תחרותי י","כובע סיליקון איכותי ארנה","","Os","ציוד","150.00","150","100","100","","","","","1234567","613- כובעי ים","1234567","1234567"
"1918177","סטופר 3*100 מקצועי","","","","ציוד","149.90","149.9","-19","-19","","","","","","","1918177","1918177"
"6827950","מעיל פארקה פיסטון חד","מעיל פארקה פיסטון חדש ארנה-שחור","","Os","ביגוד","499.00","499","","","","","","","6827950","675- מעיל חימום פארקה","6827950","6827950"
"","כובע מים פתוחים לבן","","","","ציוד","59.00","59","","","","","","","","613- כובעי ים","7450100","7450100"
"","כובע מים פתוחים כחול","","","","ציוד","59.00","59","","","","","","","","613- כובעי ים","7450800","7450800"
"","כובע מים פתוחים כחול","","","","ציוד","59.00","59","","","","","","","","613- כובעי ים","7451800","7451800"
"4242","בובה כדור מים","","","","מזכרות אליפות","20.00","20","-6","-6","","","","","","","11224242","11224242"
"75654","פריט נסיון","פריט נסיון","","Os","ביגוד","200.00","200","","","","","","","32424243","","32424243","32424243"
"proteinhit","חטיף פרוטאין היי5","חטיף פרוטאין היי5","","Os","תוספי תזונה","12.00","12","","","","","","","50052967","","50052967","50052967"
"ISO1","איזוג''''ל היי5","ג'ל אנרגיה HIGH5","","Os","תוספי תזונה","8.00","8","","","","","","","112233","","50052981","50052981"
"ISO1","איזוג''''ל היי5","ג'ל אנרגיה HIGH5","","Os","תוספי תזונה","8.00","8","","","","","","","112233","","50052998","50052998"
"isoextrme","איזוג''''ל אקסטרים ה","ג'ל אנרגיה HIGH5","","Os","תוספי תזונה","8.00","8","","","","","","","112233","","50053001","50053001"
"ISO1","איזוג''''ל היי5","ג'ל אנרגיה HIGH5","","Os","תוספי תזונה","8.00","8","","","","","","","112233","","50053025","50053025"
"EnergyGel","איזוג''''ל היי5","ג'ל אנרגיה HIGH5","","Os","תוספי תזונה","8.00","8","","","","","","","112233","","50551842","50551842"
"EnergyGel","איזוג''''ל היי5","ג'ל אנרגיה HIGH5","","Os","תוספי תזונה","8.00","8","","","","","","","112233","","50551859","50551859"
"EnergyGel","איזוג''''ל היי5","ג'ל אנרגיה HIGH5","","Os","תוספי תזונה","8.00","8","","","","","","","112233","","50551910","50551910"
"EnergyGel","איזוג''''ל היי5","ג'ל אנרגיה HIGH5","","Os","תוספי תזונה","8.00","8","","","","","","","112233","","50572953","50572953"
"EnergyGel","איזוג''''ל היי5","ג'ל אנרגיה HIGH5","","Os","תוספי תזונה","8.00","8","","","","","","","112233","","50572977","50572977"
"EnergyGel","איזוג''''ל היי5","ג'ל אנרגיה HIGH5","","Os","תוספי תזונה","8.00","8","","","","","","","112233","","50572984","50572984"
"energybar","אנרגי בר בננה היי5","אנרגי בר בננה היי5","","Os","תוספי תזונה","10.00","10","","","","","","","50598410","","50598410","50598410"
"50598465","חטיף פרוטאין היי 5","חטיף פרוטאין היי 5","","Os","תוספי תזונה","12.00","12","","","","","","","50598465","","50598465","50598465"
"proteinbar","חטיף פרוטאין היי5","חטיף פרוטאין היי5","","Os","תוספי תזונה","12.00","12","","","","","","","50598496","","50598496","50598496"
"energybar","אנרגי בר בוטנים היי5","אנרגי בר בוטנים היי5","","Os","תוספי תזונה","10.00","10","","","","","","","50598557","","50598557","50598557"
"AR2G4785E10500L","3D SOFT CAP RISHON I","3D SOFT CAP RISHON ISR WHITE","","L","כובעים גרביים והלבשה תחתונה","","","","","","","","","AR2G4785E105","(14502)אביזרי שחיה","65069100","65069100"
"76949","בקבוק GU","בקבוק GU","","Os","ציוד","30.00","30","-2","-2","","","","","76949000","","76949000","76949000"
"95664","גליל חלול למאסג'","","","Os","ציוד","129.00","129","-2","-2","","","","","","ציוד יוגה ,פילאטיס וריקוד","81895664","81895664"
"121237008","כדור עיסוי","","","Os","ציוד","30.00","30","-5","","","","","-5","","613- כובעי ים","121237008","121237008"
"12312344","קמע אליפות עולם לנוע","","","","","60.00","60","","","","","","","","","123123444","123123444"
"1","כובע אליפות עולם לנו","כובע סיליקון איכותי ארנה","","Os","ציוד","65.00","65","-2","-2","","","","","123456","613- כובעי ים","123456677","123456677"
"568173420000","JUMP ROPE IN TU","JUMP ROPE IN TUBE","","Os","ציוד","16.90","16.9","20","20","","","","","568173420","[14000]אביזרי כושר שונים","568173420","568173420"
"0000609860030","W SPIDER BOOSTE","W SPIDER BOOSTER BACK ONE PIECE","","30","ביגוד","169.99","169.992","","","","","","","00006098600","622-ב.ים נשים ע.כלור ארנה איטליה","609860030","609860030"
"0000609860032","W SPIDER BOOSTE","W SPIDER BOOSTER BACK ONE PIECE","","32","ביגוד","169.99","169.992","","","","","","","00006098600","622-ב.ים נשים ע.כלור ארנה איטליה","609860032","609860032"
"0000609860034","W SPIDER BOOSTE","W SPIDER BOOSTER BACK ONE PIECE","","34","ביגוד","169.99","169.992","","","","","","","00006098600","622-ב.ים נשים ע.כלור ארנה איטליה","609860034","609860034"
"0000609860036","W SPIDER BOOSTE","W SPIDER BOOSTER BACK ONE PIECE","","36","ביגוד","169.99","169.992","","","","","","","00006098600","622-ב.ים נשים ע.כלור ארנה איטליה","609860036","609860036"
"0000609860038","W SPIDER BOOSTE","W SPIDER BOOSTER BACK ONE PIECE","","38","ביגוד","169.99","169.992","","","","","","","00006098600","622-ב.ים נשים ע.כלור ארנה איטליה","609860038","609860038"
"0000609860040","W SPIDER BOOSTE","W SPIDER BOOSTER BACK ONE PIECE","","40","ביגוד","169.99","169.992","","","","","","","00006098600","622-ב.ים נשים ע.כלור ארנה איטליה","609860040","609860040"
"10112310","כובע מצחיה אליפות עו","","","","מזכרות אליפות","29.00","29","","","","","","","","","1012310123","1012310123"
"70008","כיסוי למחבט טניס","","","","ציוד","68.99","68.9946","-1","","","","","-1","","ציוד","1212370008","1212370008"
"001914203000","BONNET SILICONE","BONNET SILICONE CAP BLUE","","Os","ציוד","","","","","","","","","001914203","(14502)אביזרי שחיה","1914203000","1914203000"
"0004245090028","W MANIFESTO ONE","W MANIFESTO ONE PIECE L","","28","ביגוד","169.99","169.992","","","","","","","00042450900","622-ב.ים נשים ע.כלור ארנה איטליה","4245090028","4245090028"
"0004245090030","W MANIFESTO ONE","W MANIFESTO ONE PIECE L","","30","ביגוד","169.99","169.992","","","","","","","00042450900","622-ב.ים נשים ע.כלור ארנה איטליה","4245090030","4245090030"
"0004245090032","W MANIFESTO ONE","W MANIFESTO ONE PIECE L","","32","ביגוד","169.99","169.992","","","","","","","00042450900","622-ב.ים נשים ע.כלור ארנה איטליה","4245090032","4245090032"
"0004245090034","W MANIFESTO ONE","W MANIFESTO ONE PIECE L","","34","ביגוד","169.99","169.992","","","","","","","00042450900","622-ב.ים נשים ע.כלור ארנה איטליה","4245090034","4245090034"
"0004245090036","W MANIFESTO ONE","W MANIFESTO ONE PIECE L","","36","ביגוד","169.99","169.992","","","","","","","00042450900","622-ב.ים נשים ע.כלור ארנה איטליה","4245090036","4245090036"
"0004245090038","W MANIFESTO ONE","W MANIFESTO ONE PIECE L","","38","ביגוד","169.99","169.992","","","","","","","00042450900","622-ב.ים נשים ע.כלור ארנה איטליה","4245090038","4245090038"
"0004245090040","W MANIFESTO ONE","W MANIFESTO ONE PIECE L","","40","ביגוד","169.99","169.992","","","","","","","00042450900","622-ב.ים נשים ע.כלור ארנה איטליה","4245090040","4245090040"
"0004917010065","M PHANTOM 12 CM","M PHANTOM 12 CM BRIEF-NAVY","","65","ביגוד","110.00","109.998","","","","","","","00049170100","635- מכנסון גבר ארנה איטליה","4917010065","4917010065"
"0004917010070","M PHANTOM 12 CM","M PHANTOM 12 CM BRIEF-NAVY","","70","ביגוד","110.00","109.998","","","","","","","00049170100","635- מכנסון גבר ארנה איטליה","4917010070","4917010070"
"0004917010075","M PHANTOM 12 CM","M PHANTOM 12 CM BRIEF-NAVY","","75","ביגוד","110.00","109.998","","","","","","","00049170100","635- מכנסון גבר ארנה איטליה","4917010075","4917010075"
"0004917010080","M PHANTOM 12 CM","M PHANTOM 12 CM BRIEF-NAVY","","80","ביגוד","110.00","109.998","","","","","","","00049170100","635- מכנסון גבר ארנה איטליה","4917010080","4917010080"
"0005059510060","M INSTINCT LOW","M INSTINCT LOW WAIST SHORT","","60","ביגוד","110.00","109.998","","","","","","","00050595100","635- מכנסון גבר ארנה איטליה","5059510060","5059510060"
"0005059510065","M INSTINCT LOW","M INSTINCT LOW WAIST SHORT","","65","ביגוד","110.00","109.998","","","","","","","00050595100","635- מכנסון גבר ארנה איטליה","5059510065","5059510065"
"0005059510070","M INSTINCT LOW","M INSTINCT LOW WAIST SHORT","","70","ביגוד","110.00","109.998","","","","","","","00050595100","635- מכנסון גבר ארנה איטליה","5059510070","5059510070"
"0005059510075","M INSTINCT LOW","M INSTINCT LOW WAIST SHORT","","75","ביגוד","110.00","109.998","","","","","","","00050595100","635- מכנסון גבר ארנה איטליה","5059510075","5059510075"
"0005059510080","M INSTINCT LOW","M INSTINCT LOW WAIST SHORT","","80","ביגוד","110.00","109.998","","","","","","","00050595100","635- מכנסון גבר ארנה איטליה","5059510080","5059510080"
"5101045/TU","HOLLY POOL TOWE","HOLLY POOL TOWELS","","Os","ציוד","199.00","199","","","","","","","5101045","617- אביזרים שונים. ארנה","5101045000","5101045000"
"5101055/TU","HOLLY POOL TOWE","HOLLY POOL TOWELS","","Os","ציוד","199.00","199","","","","","","","5101055","617- אביזרים שונים. ארנה","5101055000","5101055000"
"5101439/TU","מגבת מיקרופייבר ארנה","מגבת מיקרופייבר ארנה גדולה-מייס/לבן","","Os","ציוד","139.00","139","","","","","","","5101439","676-ביגוד אירובי/כושר אר.איטליה","5101439000","5101439000"
"5101441/TU","מגבת מיקרופייבר ארנה","מגבת מיקרופייבר ארנה גדולה- אדומה","","Os","ציוד","139.00","139","","","","","","","5101441","676-ביגוד אירובי/כושר אר.איטליה","5101441000","5101441000"
"5101465/TU","מגבת מיקופייבר גדולה","מגבת מיקופייבר גדולה ירוק ליים","","Os","ציוד","129.00","129","","","","","","","5101465","617- אביזרים שונים. ארנה","5101465000","5101465000"
"5101472/TU","מגבת מיקרופייבר גדול","מגבת מיקרופייבר גדולה - רויאל","","Os","ציוד","129.90","129.9","","","","","","","5101472","(14502)אביזרי שחיה","5101472000","5101472000"
