"קבוצה","מק""ט באתר","שם המוצר באתר","מזהה וריאציה","קיים בקומקס?","מק""ט קומקס אם קיים","רמז: הברקוד שלפני המקף"
"ברקוד + זנב מזהה-וריאציה","3468335293011-9151","סנפירים אימונים (זומרס) מקצועי Powerfin Pro – 55-BLACK, 38/39","9151","לא","","3468335293011"
"ברקוד + זנב מזהה-וריאציה","3468333894005-9078","כובע שחייה סיליקון CLASSIC SILICONE – 55-BLACK-SILVER, Os","9078","לא","","3468333894005"
"ברקוד + זנב מזהה-וריאציה","3468335515274-9721","תחתון ביקיני Bikini Brief Solid – 72-ROYAL-WHITE, 36","9721","לא","","3468335515274"
"ברקוד + זנב מזהה-וריאציה","3468335622514-9726","בגד ים ביקיני חלק עליון Bikini Top Solid – 72-ROYAL-WHITE, 36","9726","לא","","3468335622514"
"ברקוד + זנב מזהה-וריאציה","3468333894005-39170","כובע שחייה סיליקון CLASSIC SILICONE – CapNavy, Os","39170","לא","","3468333894005"
"ברקוד + זנב מזהה-וריאציה","3468333894005-41342","כובע שחייה סיליקון CLASSIC SILICONE – CapGray, Os","41342","לא","","3468333894005"
"ברקוד + זנב מזהה-וריאציה","7297423941680-45394","חולצת אנטיסן שרוול קצר נערות SHELI – 33-GAME PINK, 8","45394","לא","","7297423941680"
"ברקוד + זנב מזהה-וריאציה","3468333912112-69230","כובע שחייה סיליקון CLASSIC SILICONE – 103-pink, Os","69230","לא","","3468333912112"
"ברקוד + זנב מזהה-וריאציה","3468333912112-69231","כובע שחייה סיליקון CLASSIC SILICONE – 35-yellow, Os","69231","לא","","3468333912112"
"ברקוד + זנב מזהה-וריאציה","3468333912112-69232","כובע שחייה סיליקון CLASSIC SILICONE – 75-Navy-gray, Os","69232","לא","","3468333912112"
"ברקוד + זנב מזהה-וריאציה","123456-800","כובע סיליקון ארנה עם דגל ישראל – 800-כחול, Os","75659","לא","","123456"
"ברקוד + זנב מזהה-וריאציה","123456-100","כובע סיליקון ארנה עם דגל ישראל – 100-לבן, Os","75664","לא","","123456"
"ברקוד + זנב מזהה-וריאציה","3468336379943-11259","משקפת שחייה נשים The One – 100-SMOKE-WHITE-PURPLE, Os","77551","לא","","3468336379943"
"מק""ט חלופי AR במקום ברקוד","AR002507510000","משקפת שחייה Cobra Ultra Swipe Mirror – 510-SILVER-WHITE, Os","10437","רק כקוד חלופי","3468336214909",""
"מק""ט חלופי AR במקום ברקוד","AR002507600000","משקפת שחייה Cobra Ultra Swipe Mirror – 600-BLUE-SILVER, Os","47533","רק כקוד חלופי","3468336511602",""
"מק""ט חלופי AR במקום ברקוד","AR002507110000","משקפת שחייה Cobra Ultra Swipe Mirror – 110-EMERALD-CYBER_LIME, Os","61898","רק כקוד חלופי","3468337082118",""
"מק""ט חלופי AR במקום ברקוד","AR002507130000","משקפת שחייה Cobra Ultra Swipe Mirror – 130-EMERALD-PEACOCK, Os","61904","רק כקוד חלופי","3468337097891",""
"NELI (העתק) — קוד פנימי","223290001","בגד ים שרוול ארוך נשים NELI (העתק) – 86-NEW CANCUN, XS","47334","לא","",""
"NELI (העתק) — קוד פנימי","223290002","בגד ים שרוול ארוך נשים NELI (העתק) – 86-NEW CANCUN, S","47335","לא","",""
"NELI (העתק) — קוד פנימי","223290003","בגד ים שרוול ארוך נשים NELI (העתק) – 86-NEW CANCUN, M","47336","לא","",""
"NELI (העתק) — קוד פנימי","223290004","בגד ים שרוול ארוך נשים NELI (העתק) – 86-NEW CANCUN, L","47337","לא","",""
"NELI (העתק) — קוד פנימי","223290005","בגד ים שרוול ארוך נשים NELI (העתק) – 86-NEW CANCUN, XL","47338","לא","",""
"NELI (העתק) — קוד פנימי","223290006","בגד ים שרוול ארוך נשים NELI (העתק) – 86-NEW CANCUN, 2XL","47339","לא","",""
"NELI (העתק) — קוד פנימי","223290007","בגד ים שרוול ארוך נשים NELI (העתק) – 88-NAVY, XS","47340","לא","",""
"NELI (העתק) — קוד פנימי","223290008","בגד ים שרוול ארוך נשים NELI (העתק) – 88-NAVY, S","47341","לא","",""
"NELI (העתק) — קוד פנימי","223290009","בגד ים שרוול ארוך נשים NELI (העתק) – 88-NAVY, M","47342","לא","",""
"NELI (העתק) — קוד פנימי","223290010","בגד ים שרוול ארוך נשים NELI (העתק) – 88-NAVY, L","47343","לא","",""
"NELI (העתק) — קוד פנימי","223290011","בגד ים שרוול ארוך נשים NELI (העתק) – 88-NAVY, XL","47344","לא","",""
"NELI (העתק) — קוד פנימי","223290012","בגד ים שרוול ארוך נשים NELI (העתק) – 88-NAVY, 2XL","47345","לא","",""
"NELI (העתק) — קוד פנימי","223290013","בגד ים שרוול ארוך נשים NELI (העתק) – 99-BLACK, XS","47346","לא","",""
"NELI (העתק) — קוד פנימי","223290014","בגד ים שרוול ארוך נשים NELI (העתק) – 99-BLACK, S","47347","לא","",""
"NELI (העתק) — קוד פנימי","223290015","בגד ים שרוול ארוך נשים NELI (העתק) – 99-BLACK, M","47348","לא","",""
"NELI (העתק) — קוד פנימי","223290016","בגד ים שרוול ארוך נשים NELI (העתק) – 99-BLACK, L","47349","לא","",""
"NELI (העתק) — קוד פנימי","223290017","בגד ים שרוול ארוך נשים NELI (העתק) – 99-BLACK, XL","47350","לא","",""
"NELI (העתק) — קוד פנימי","223290018","בגד ים שרוול ארוך נשים NELI (העתק) – 99-BLACK, 2XL","47351","לא","",""
"גיפט קארד","9999111","Test Product – 100-ALL-BLACK, 10","47383","לא","",""
"גיפט קארד","99950","Gift Card – 50","0","לא","",""
"גיפט קארד","999100","Gift Card – 100","0","לא","",""
"גיפט קארד","999200","Gift Card – 200","0","לא","",""
"גיפט קארד","999300","Gift Card – 300","0","לא","",""
"גיפט קארד","999400","Gift Card – 400","0","לא","",""
"גיפט קארד","999500","Gift Card – 500","0","לא","",""
"גיפט קארד","999600","Gift Card – 600","0","לא","",""
"גיפט קארד","999700","Gift Card – 700","0","לא","",""
"גיפט קארד","999800","Gift Card – 800","0","לא","",""
"גיפט קארד","999900","Gift Card – 900","0","לא","",""
"גיפט קארד","9991000","Gift Card – 1000","0","לא","",""
"גיפט קארד","9991500","Gift Card – 1500","0","לא","",""
"גיפט קארד","999250","Gift Card – 250","0","לא","",""
"TEAM CHALLENGE SOLID — קוד פנימי","47669001","בגד ים ילדות ונשים TEAM CHALLENGE SOLID","54653","לא","",""
"TEAM CHALLENGE SOLID — קוד פנימי","47669002","בגד ים ילדות ונשים TEAM CHALLENGE SOLID","54654","לא","",""
"TEAM CHALLENGE SOLID — קוד פנימי","47669003","בגד ים ילדות ונשים TEAM CHALLENGE SOLID","54655","לא","",""
"TEAM CHALLENGE SOLID — קוד פנימי","47669004","בגד ים ילדות ונשים TEAM CHALLENGE SOLID","54656","לא","",""
