קוד פנימי,פריט,שם פריט,קוד חלופי,שם פריט באנגלית,ברקוד,מחלקה,שם מחלקה,קבוצה,שם קבוצה,קבוצת משנה,שם קבוצת משנה,ספק,שם ספק,דגם,שם דגם,מידה,שם צבע,מותג,שם מידה,נוסף,שם נוסף,שונות,נוסף 2,שם נוסף 2,נוסף 3,שם נוסף 3,תאריך הקמה,מקים,שם מקים,שם מעדכן אחרון,מחיר מחירון 1,מחיר מחירון 2,מחיר עלות לפי ספק,מחיר עלות נטו,נתוני אתר - לא להציג,מלאי
1497,1,כללי,1,,1,,,,,,,,,1,פריט כללי,,,Os,Os,,,,,,,,10/01/2018,9999,קומקס,דרור                            -   08/12/2022,,,,,1,-4
1566,10,משלוח,10,,10,,,,,,,,,10,משלוח,,,Os,Os,,,,,,,,27/05/2018,1,דרור,דרור                            -   08/12/2022,35,,,,1,-562
10768,11,הנחת קופון,11,,11,,,,,,,,,,,,,,,,,,,,,,05/06/2023,1,דרור,,1,,,,1,2
1956,93,סטנד משקפות שולחני,93/TU,,93,14,ציוד,,,,,,,93,סטנד משקפות שולחני,,,Os,Os,,,,,,,,18/04/2021,,,דרור                            -   08/12/2022,,,,,1,
12856,94,פריט נסיון מתעודת כניסה,,,5621412321451,,,,,,,121018,אוריאל,,,,,,,,,,,,,,01/06/2026,1,דרור,,,,,,,4
1505,1111,מקלות עידוד,1234,,1111,,,,,,,,,1111,מקלות עידוד,,,Os,Os,,,,,,,,12/01/2018,1,דרור,דרור                            -   05/03/2024,5,,,,1,
1508,1212,כפכף ארנה איטליה,1,,1212,11,הנעלה,619,619-קבקב ארנה איטליה,,,,,1212,כפכף ארנה איטליה,,,Os,Os,,,,,,,,12/01/2018,1,דרור,דרור                            -   08/12/2022,99,,,,1,
1509,1313,ב. ים SP ארנה איטליה בנים,1,,1313,12,ביגוד,634,634-כנסון גבר ע.בכלור משולב+בסיס,,,,,1313,ב. ים SP ארנה איטליה בנים,,,,,,,,,,,,12/01/2018,1,דרור,דרור                            -   09/11/2022,110,,,,1,
1511,1414,ב.ים בנות איטליה SP,1414,,1414,1,ביגוד,622,622-ב.ים נשים ע.כלור ארנה איטליה,141264,תחרותי,,,1414,ב.ים בנות איטליה SP,,,,,,,,,,,,12/01/2018,1,דרור,דרור                            -   29/11/2022,180,,,,1,
1512,1515,תיק ארנה איטליה LE,1515,,1515,210,ציוד,2008,תיקים,20032,יוניסקס,121001,MGS,1515,תיק ארנה איטליה,,,Os,Os,,,,,,,,13/01/2018,1,דרור,דרור                            -   10/04/2023,229,,,,1,
1513,1616,ביגוד קבוצות ארנה איטליה,1616,,1616,12,ביגוד,697,697-ביגוד קבוצות איטליה,,,121001,MGS,1616,ביגוד קבוצות ארנה איטליה,,,Os,Os,,,,,,,,13/01/2018,1,דרור,דרור                            -   08/12/2022,120,,,,1,
7353,9723,הדפסת סמל כיס,9723,,9723,,,,,,,,,9723,הדפסת סמל כיס,,,Os,Os,,,,,,,,07/02/2022,1,דרור,דרור                            -   06/01/2025,5,,,,1,-211
